DemAffl,DemAge,PromSpend,PromTime,TargetBuy
6,32,6000,5,1
7,63,2100,2,0
6,67,6000,2,0
5,45,3000,9,0
3,71,0.01,5,0
10,53,6053.34,4,0
4,55,34000,3,0
9,32,0.01,4,0
9,38,2000,10,1
7,41,0.01,5,1
10,43,0.01,5,0
11,37,1000,4,1
11,46,3000,6,0
10,62,6000,3,0
8,51,100.01,5,0
6,59,6000,2,0
5,33,0.01,7,0
7,44,3000,6,0
10,52,0.01,4,0
6,69,50.01,11,0
12,66,600,9,0
7,39,0.01,5,0
8,71,3000,9,0
3,33,15600,4,0
7,42,3000,2,0
4,57,6000,1,0
5,72,6000,15,0
21,35,6000,7,1
7,65,20472.84,3,0
8,39,2500,10,0
7,77,6000,2,0
11,66,500,9,1
4,47,2000,9,0
6,57,6000,6,0
9,32,2500,3,0
5,63,5000,2,0
9,77,4694.74,6,0
10,77,0.01,5,0
5,57,500,9,0
10,44,6000,1,0
4,64,2000,9,0
6,66,6000,2,0
9,60,3000,2,0
10,64,1000,10,0
9,41,0.01,8,0
9,45,0.01,8,0
9,54,2000,8,0
10,76,0.01,8,0
2,56,0.01,9,0
8,67,6000,2,0
6,67,420.01,9,0
11,35,4166.26,15,1
17,71,1200,5,1
7,75,12053.35,7,0
7,45,0.01,5,0
6,76,29035.46,12,0
5,78,6000,1,0
6,44,0.01,5,0
10,39,2000,6,0
9,49,20744.9,3,0
8,41,1800,1,1
8,44,0.01,8,0
9,48,1200,12,0
6,55,6000,1,0
6,65,6000,1,0
9,54,5000,9,0
17,43,0.01,5,1
6,68,2000,8,0
11,44,0.01,5,1
7,45,1200,1,0
8,48,6000,4,0
10,71,24000,16,0
12,36,1420,5,1
12,69,18000,4,0
16,58,4956.42,5,0
4,37,0.01,4,1
6,67,2500,5,0
7,58,0.01,8,0
7,43,840,7,0
7,66,12158.67,7,0
8,32,30,2,1
11,47,0.01,5,1
6,50,10000,1,1
11,63,6000,6,1
17,41,0.01,4,1
8,65,0.01,5,1
11,42,3000,5,0
12,43,3500,5,1
4,78,6000,13,0
9,44,3197.91,5,0
6,60,12000,8,0
8,73,1000,9,0
7,51,6000,1,0
9,70,50,9,0
15,52,6000,1,0
11,41,21000,8,0
9,49,6053.35,6,1
5,76,3000,5,0
10,51,4000,1,0
11,65,2850,18,0
9,79,6000,16,1
4,51,0.01,8,0
7,78,31853.35,8,0
10,44,0.01,6,1
9,50,1000,12,0
6,42,0.01,9,1
10,67,9000,3,0
10,35,0.01,4,0
14,63,0.01,4,0
12,51,10000,1,0
2,67,4000,5,0
11,42,0.01,8,0
9,47,3000,6,0
6,58,1000,1,0
5,56,91.75,26,0
16,34,0.01,5,1
13,32,0.01,5,1
8,31,500,2,0
4,36,0.01,4,0
9,45,0.01,5,0
11,50,6000,1,0
6,46,620,2,0
15,51,0.01,5,1
12,42,2000,5,1
13,60,7000,2,0
8,38,0.01,5,1
4,73,500,12,0
6,35,0.01,8,0
10,41,0.01,7,1
12,45,0.01,8,1
9,62,12000,2,1
8,63,0.01,9,0
8,44,0.01,5,1
9,29,0.01,4,0
19,35,0.01,5,1
3,34,2000,5,0
10,53,720,9,0
10,52,6105.32,13,1
5,51,3900,9,0
11,55,3000,32,0
8,61,10001.7,4,0
8,57,3000,8,0
10,35,5000,9,0
5,19,1000,1,0
12,36,1200,1,1
3,65,510,20,0
9,58,0.01,5,0
7,65,3000,17,0
5,48,50,7,0
5,60,5000,5,0
5,56,3000,8,0
15,42,0.01,5,1
4,75,0.01,7,0
24,28,6000,2,1
5,78,7891.68,5,0
6,56,1800,6,0
15,59,30000,2,0
7,76,12107.64,9,0
8,47,10000,4,0
3,46,0.01,5,0
6,39,0.01,1,0
5,42,0.02,5,0
10,59,1000,4,0
6,59,1000,0,0
10,55,0.01,8,0
5,64,1000,6,0
8,59,500,8,0
13,60,6000,5,0
9,39,2900,7,0
5,58,6000,2,0
6,55,1200,1,0
7,77,4884.25,12,0
10,66,4000,8,0
5,60,1000,4,0
7,61,9500,11,1
13,35,6000,9,1
10,46,600,2,0
11,64,10171.95,7,0
6,52,5000,1,0
5,61,6000,2,0
8,71,6000,1,0
11,61,6000,6,0
5,71,6000,5,0
8,57,6107.64,5,0
5,71,2400,8,0
10,60,6053.34,6,0
14,68,0.01,9,0
7,67,6000,1,1
7,47,0.01,5,0
6,44,2500,3,0
6,78,50000,4,0
11,58,1680,12,0
11,38,9878,8,1
6,30,0.01,4,1
6,35,0.01,5,1
3,49,4400,5,0
14,67,15000,6,0
12,48,6000,2,0
15,33,0.01,8,1
11,56,4000,5,0
10,75,6053.35,27,0
13,60,1000,18,1
10,57,0.01,5,0
18,53,9500,8,1
14,58,4000,6,1
10,68,6000,16,0
10,35,0.01,6,1
5,34,1500,1,1
12,41,420,1,1
12,39,0.01,6,1
11,52,0.01,5,0
12,52,6105.32,7,0
12,53,600,13,0
6,57,1200,8,0
16,44,480,7,1
15,74,0.01,8,0
11,56,78292.5,4,0
7,49,1000,5,0
6,56,0.01,4,0
13,46,3000,1,0
13,36,6000,8,1
9,69,5000,12,0
12,53,0.01,5,1
13,68,6000,2,0
11,49,2500.01,8,0
15,40,0.01,10,0
10,53,1500,5,0
11,57,25,12,0
5,52,3000,3,0
15,35,6000,3,1
10,68,10000,4,0
12,58,6107.64,7,0
7,48,6053.35,6,0
11,31,50,8,1
12,75,1000,9,0
5,62,3000,3,0
10,34,0.01,5,1
10,59,240,9,1
6,55,0.01,8,0
2,57,100,1,0
9,36,0.01,4,1
11,44,3000,3,1
4,77,5000,24,0
10,39,0.01,9,1
7,59,1550,5,0
10,35,900,7,1
5,54,0.01,8,0
9,58,2000,8,0
13,53,0.01,5,0
15,44,0.01,10,0
10,63,3000,12,0
9,49,0.01,4,1
4,61,18330.49,10,0
8,69,4723.27,5,0
12,53,3052.66,7,0
11,35,0.01,5,1
11,59,0.01,10,0
5,48,0.01,5,0
12,48,0.01,7,0
7,68,6000,17,0
7,70,1595.77,13,0
7,39,50.02,8,0
3,48,0.01,4,0
10,67,30075,0,0
7,65,6000,23,0
10,76,3200,12,0
15,38,0.01,9,1
15,36,0.01,4,1
9,69,2500,7,0
9,50,5000,5,0
5,76,10000,24,0
5,39,0.01,5,0
9,66,0.01,5,0
5,47,6316.06,5,0
12,58,600,15,1
5,54,2000,1,0
7,53,0.01,8,0
6,61,0.01,8,0
11,57,1046.17,2,0
9,58,0.01,5,0
2,64,10600,4,1
9,68,18078.34,4,0
12,72,0.01,8,0
12,52,0.01,5,0
7,45,1000,5,0
10,63,0.01,9,0
6,57,100,1,0
9,63,6000,1,0
15,51,0.01,5,1
17,74,5500,16,1
10,31,0.01,5,0
5,62,1000,4,0
3,50,7553.35,6,0
10,44,18000,1,0
3,51,0.01,5,0
14,61,1000,4,0
5,32,0.01,8,1
6,45,1080,9,0
9,50,11850.01,11,0
7,58,50.01,8,0
10,69,30000,4,0
6,64,12000,8,0
10,38,0.01,6,0
15,59,1800,9,0
7,33,0.01,8,0
10,54,7000,2,0
2,58,0.01,5,0
14,34,500,2,1
11,55,432.01,5,0
6,79,3000,9,0
9,67,9600,8,0
10,30,50,2,1
10,51,3000,6,0
9,77,6000,13,0
3,52,6053.35,10,0
13,39,0.01,8,1
13,40,0.01,9,0
8,52,2361.26,13,1
14,49,3500,1,1
6,71,18053.35,8,0
10,69,10000,1,0
5,66,7522.49,3,0
4,40,0.01,5,0
10,32,0.01,4,1
5,62,0.01,5,0
4,50,3000,3,0
10,77,6000,3,0
10,53,0.01,9,0
5,41,500,2,0
8,54,1800,2,0
4,71,40919.71,16,0
9,62,3000,8,1
6,40,2987,2,0
7,58,3920,9,0
8,51,1000,11,0
13,66,20439.26,3,0
8,46,600,1,0
14,59,610,8,1
10,51,0.01,11,0
4,67,2000,2,0
11,68,2500,8,0
4,53,0.01,8,0
6,56,6105.3,0,0
13,60,0.01,8,0
9,35,0.01,9,0
6,49,6000,3,0
12,35,0.01,5,1
5,49,0.01,7,0
8,41,0.01,5,0
9,59,3000,9,0
8,40,1000,5,1
9,45,2000,5,0
2,69,2400,9,0
7,77,12000,2,0
11,64,970,6,0
12,70,35107.85,19,0
7,67,0.01,8,0
6,72,5602.5,1,0
10,34,0.01,5,0
6,38,6000,2,0
10,60,6000,2,0
9,66,5000,5,0
8,40,2075,5,0
8,66,6053.34,4,0
5,45,4000,5,0
14,40,18053.34,8,1
11,59,1000,5,0
3,32,2000,1,1
5,68,8053.34,9,0
13,50,2000,9,1
6,60,0.01,5,0
9,45,250,8,0
8,78,100,1,0
13,34,0.01,4,1
9,72,100,1,0
11,49,5044.45,6,1
14,46,0.01,8,1
24,56,6000,2,1
2,42,0.01,7,0
10,36,600,5,1
6,49,0.01,5,0
8,63,4000,5,0
10,43,0.01,7,1
7,47,0.01,9,0
7,53,17112.8,3,0
10,76,2000,18,0
16,42,14160.99,6,1
12,42,600,9,1
10,46,600,12,0
14,77,3000,3,0
5,66,6500,16,0
11,50,0.01,4,0
7,53,3000,2,0
6,60,12000,8,0
11,74,6107.64,13,0
10,75,9000,20,0
6,73,1000,5,0
7,60,1000.01,6,0
8,42,3400,5,0
13,70,4000,1,0
5,65,1000,30,0
9,70,3500,20,0
3,67,3000,7,0
8,66,6000,8,0
6,63,1238.91,7,0
8,50,100,1,0
8,68,469.42,11,0
9,58,6000,2,0
5,48,6035.46,12,0
7,66,20000,14,0
9,51,9000,1,0
9,44,35,2,0
5,30,5901.28,9,0
10,57,10000,2,1
19,56,7500,3,1
9,61,6000,4,1
8,72,600,9,1
9,50,0.01,5,1
8,46,9100,9,1
7,62,6017.78,27,1
22,35,0.01,5,1
5,39,25,2,0
10,57,2000,1,0
11,59,12000,21,0
7,67,12000,11,1
8,69,4000,27,0
8,67,6000.01,7,0
6,66,0.01,6,0
11,56,0.01,8,0
8,79,1000,1,0
11,51,0.01,11,0
7,67,12053.35,15,0
8,42,0.01,5,0
5,49,12106.7,7,0
8,39,10000,4,0
5,58,6000,1,0
5,42,3000,8,0
9,41,0.01,7,0
8,60,6000,5,0
14,42,0.01,5,0
8,38,0.01,8,1
7,47,0.01,4,0
9,72,0.01,7,0
5,41,0.01,4,1
10,68,5000,4,1
10,62,14000,25,0
11,55,5000,5,0
4,64,8000,5,0
7,55,0.01,5,0
4,73,6000,2,0
7,68,6053.35,7,0
11,32,0.01,5,1
7,79,0.01,5,0
9,48,3000.01,8,0
8,55,10250,11,0
6,47,6000,1,1
12,58,12000,2,0
13,34,0.01,8,1
10,55,0.01,5,0
6,40,50.02,8,0
11,49,6000,5,1
13,36,0.01,5,1
10,36,2000,9,0
10,79,6000,1,0
12,63,1000,9,1
10,32,25.79,8,1
13,31,0.01,5,0
15,60,20937.6,8,0
11,76,6000,2,0
6,66,0.01,8,0
5,32,0.01,5,0
5,50,0.01,8,0
3,43,5700,11,1
11,42,1000,1,1
3,33,4100,1,0
14,69,10001.74,4,1
8,47,6000,1,0
7,50,6000,1,0
11,46,0.01,10,1
10,46,5526.35,5,0
4,47,0.01,8,0
10,56,6000,5,0
4,50,6250,3,1
6,65,1000,24,0
8,51,6000,5,0
6,59,3000,5,0
6,50,800,9,0
7,57,5800,6,0
6,48,2000,5,0
8,50,1000,5,0
8,45,0.01,11,0
24,54,1000,5,1
9,51,1150,3,0
5,52,300,9,0
3,71,17634.66,3,0
7,56,0.01,4,0
16,41,0.01,8,1
1,60,1000,13,0
14,58,20268.84,3,1
4,59,5045.68,9,0
8,65,4000,5,0
6,63,0.01,7,0
12,44,3000,7,1
8,36,0.01,8,1
5,70,53000,6,0
12,61,12000,6,1
8,64,40000,6,0
6,56,12000,7,0
7,38,0.01,8,0
14,39,5900,8,1
4,47,3000,10,0
7,59,100,1,1
7,52,5000,2,0
4,69,12000,11,0
7,63,5000,5,0
12,63,0.01,8,0
7,74,6000,2,0
7,77,400,10,0
6,60,3000,5,0
11,66,1000,8,0
15,49,0.01,5,0
7,76,2500,6,0
9,39,3000,9,0
9,70,6053.35,7,0
10,47,2000,2,0
6,62,5000,5,0
5,57,0.01,9,0
9,39,0.01,5,1
13,58,2000,8,0
6,38,0.01,8,0
11,65,12433.27,4,1
5,52,0.01,4,0
10,52,2000,1,0
8,32,39257.79,5,0
6,67,12158.67,8,0
9,62,6107.64,5,1
13,36,0.02,5,1
8,41,0.01,5,0
6,54,0.01,4,0
6,46,9000,8,0
7,41,0.01,4,1
13,36,2000,7,1
8,41,0.01,5,0
2,51,20712,3,0
9,58,0.01,6,0
13,65,4000,2,1
6,47,3000,1,0
8,35,0.01,6,0
9,73,3000.01,7,1
15,46,1000,4,0
10,37,0.01,5,1
9,37,2300,7,0
7,56,500,12,0
7,64,4459.17,19,0
4,77,12000,9,0
16,44,211,3,1
9,40,0.01,4,1
7,26,600,1,0
9,31,2000,5,0
15,69,22332.01,3,1
8,34,0.01,4,1
7,56,0.01,9,0
12,66,1000,12,0
8,66,50,1,0
5,45,0.01,5,0
8,66,1500,12,0
10,62,0.01,8,0
9,59,6000.01,8,0
6,64,12000,2,0
7,78,11900.01,12,1
8,53,4000.01,5,0
8,29,0.01,4,0
7,46,12050,8,0
13,74,3000,19,1
5,54,40000,1,0
6,53,0.01,5,0
10,65,480,5,1
4,49,0.01,7,0
11,52,1615.12,6,0
8,32,0.01,8,0
8,37,720.01,5,1
7,66,2000,2,0
9,55,0.01,9,0
6,74,0.01,6,0
9,66,3026.67,7,0
9,36,23000,11,0
10,55,0.01,5,0
6,69,6000,23,0
15,40,3000,6,1
6,63,6000,1,0
6,57,6053.35,6,0
5,45,6053.35,6,0
16,49,4884.25,11,0
5,55,6000,1,0
9,63,3000,5,0
10,61,17026.67,7,0
13,79,3000,8,1
5,45,1000,4,0
8,35,0.01,5,0
15,32,1000.43,4,1
3,71,3000,5,0
21,37,600,1,1
9,63,3000,6,0
7,42,3100,8,0
15,34,1600,0,1
5,41,0.01,8,0
12,29,6000,9,1
6,77,12000,4,0
6,50,0.01,8,0
11,59,5500,1,0
11,54,1000.01,9,0
8,51,0.01,8,0
10,59,3000,8,0
9,48,0.01,5,0
8,31,0.01,8,0
11,40,0.01,8,1
9,34,12210.64,12,1
10,55,0.01,5,0
10,50,0.01,9,0
12,61,0.01,5,0
7,37,420,8,0
5,50,2100.01,8,0
5,51,21500,11,0
8,61,6000,1,0
5,75,10000,4,0
7,63,5000,2,0
5,70,12000,8,0
7,31,50,3,1
10,55,3000,1,0
10,50,4200.01,10,0
6,35,0.01,8,0
9,60,5000,5,0
8,77,2500,5,0
4,40,0.01,4,0
8,37,0.01,7,0
14,34,50,6,0
8,77,10000,5,1
7,54,0.01,9,0
7,70,6000,14,0
6,47,2000,1,0
10,52,12106.7,7,0
4,45,9519,4,0
9,62,0.01,9,1
7,75,6107.64,5,0
10,36,6000,4,1
11,47,2000,7,1
8,60,7500,3,0
5,51,0.01,6,0
11,46,240,13,0
9,29,0.01,6,1
21,37,0.01,4,1
12,38,16035.57,8,0
15,46,0.01,8,1
5,50,0.01,5,0
21,36,18000,5,1
5,45,0.01,7,0
9,40,0.01,5,0
9,61,3000,8,0
6,50,75.01,8,0
10,31,0.01,5,1
8,73,2000,1,0
5,64,1000,5,0
8,32,350,9,1
6,55,0.01,8,0
7,65,13850,8,0
4,42,0.01,4,0
15,66,951.91,32,0
7,50,11000,6,0
25,36,0.01,8,1
8,75,6000,6,0
9,67,500,9,0
14,63,100,10,1
10,48,200,1,0
11,63,6000,3,0
6,51,0.01,5,0
8,30,0.01,5,1
5,41,2000,6,0
6,44,0.01,5,1
15,43,1000,5,1
10,77,1900,8,0
13,73,700,9,0
8,31,0.01,4,1
25,34,0.01,11,1
7,45,0.01,7,0
11,55,12000,2,1
6,75,6000,1,0
9,39,6000,10,0
15,41,6105.33,8,1
11,38,650.01,2,1
8,37,0.01,8,0
15,65,5000,4,0
8,65,9000,8,0
15,39,0.01,9,0
12,75,500,9,0
10,34,3000.01,5,1
7,62,35884.25,11,1
9,46,0.01,9,0
5,67,6000,12,0
9,72,6000,5,0
9,60,6000,14,0
9,61,6000,5,0
20,50,4884.25,17,1
9,53,0.01,4,0
11,37,100,7,1
12,50,3000,6,1
6,72,6000,8,0
12,39,12000,1,1
6,37,7500,3,1
6,66,0.01,5,0
10,52,6053.34,4,0
14,30,489.91,11,1
6,43,0.01,5,0
9,37,0.01,5,1
8,65,6000,5,0
11,60,0.01,8,0
6,43,0.01,5,0
7,74,20000,4,0
5,40,6000,1,0
7,35,12053.34,4,0
14,53,0.01,4,1
12,42,0.01,8,1
9,35,0.01,4,1
9,35,6000,12,0
18,64,1000,9,0
12,59,12107.64,6,1
7,46,5000,1,0
17,30,4000,7,1
6,58,3000,19,0
8,46,0.01,7,0
4,57,0.01,8,0
11,55,4000,7,0
6,33,1000,1,0
7,50,10000,2,0
12,71,3000,18,0
12,51,9000,2,0
7,45,3000,8,0
9,48,12000,9,0
8,56,5000,2,0
8,39,0.01,5,1
17,45,12000,4,0
6,50,0.01,5,0
8,40,0.01,4,0
13,32,0.01,5,1
10,59,20538.99,3,0
8,56,0.01,1,0
8,50,0.01,7,0
5,65,50000,12,0
14,50,6000,2,0
16,38,0.01,8,1
7,64,5000,4,0
7,64,12605.32,17,1
7,51,20249.84,3,0
16,50,0.01,8,0
19,61,0.01,5,1
10,28,1590,6,1
10,63,10833.16,8,1
11,59,2500,7,1
10,49,2600,4,1
6,36,0.01,5,1
6,74,6000,2,0
7,71,6000,3,0
10,63,25000,16,0
17,50,0.01,8,1
4,57,0.01,5,0
11,39,6000,1,1
10,39,0.01,4,1
13,63,0.01,7,0
15,55,0.01,8,1
4,49,0.01,9,0
8,50,0.01,5,0
12,71,17094.9,8,0
10,37,2000,5,1
9,52,600,1,0
7,71,1000,8,0
8,46,0.01,5,0
8,68,8594.76,6,0
8,63,2500,2,1
7,60,0.01,11,1
8,37,12088.11,8,0
14,61,5000,5,0
7,50,0.01,5,0
2,44,4600,9,0
8,69,12684.25,8,0
7,62,5500,8,0
7,35,6107.64,6,1
10,55,2100,9,0
8,64,10000,4,0
8,76,12053.34,6,0
6,61,13500,1,0
12,33,0.01,4,1
9,42,12000,12,0
7,60,0.01,4,0
9,53,0.01,10,1
12,61,6000.01,9,0
8,79,15000,12,0
7,38,10000,4,0
11,51,0.01,12,0
16,37,12000,6,1
9,46,0.01,10,0
9,31,0.01,7,0
11,38,0.02,4,0
8,56,6000,2,0
6,34,100,13,1
8,72,6000,5,0
4,72,6000,2,0
13,41,0.01,5,1
6,61,6000,12,0
2,62,6000,6,0
7,54,3000.01,8,0
8,53,45000,7,0
15,47,10000,15,0
13,59,7900,11,0
6,61,6000,10,0
8,60,3000,5,0
4,51,0.01,4,0
8,56,0.01,5,1
10,67,6053.34,4,0
8,68,17996.5,10,0
17,37,6105.32,9,1
10,42,500,2,1
10,74,5000,4,1
6,53,0.01,5,0
11,76,1500,32,0
6,62,1000,5,0
10,48,6000,2,0
13,55,0.01,5,0
8,59,0.01,13,0
4,70,6000,6,0
12,60,3000,2,1
13,63,6000,1,0
16,43,0.01,7,1
7,47,6053.34,4,0
5,44,480,5,1
9,54,0.01,9,0
7,38,1000,1,0
6,65,3000,8,0
7,59,6000,2,0
13,56,1500,9,0
6,68,6053.35,6,0
25,33,2650,11,1
12,50,0.01,8,0
13,74,600,1,0
5,60,6178.5,9,1
14,68,4884.25,8,1
6,56,11000,4,0
5,60,0.01,8,0
5,40,13911,5,0
11,55,300,9,0
7,34,0.01,8,0
9,33,0.01,8,0
3,72,6053.35,7,0
5,58,6000,1,0
4,75,18053.35,4,0
5,43,0.01,5,1
10,77,1000,2,0
9,60,0.01,10,0
14,35,420,5,1
5,51,0.01,4,1
7,66,4500,5,0
8,56,1000,5,0
11,36,600,7,1
7,66,2700,4,0
11,60,3430,4,0
11,47,6000,5,0
11,69,2500,2,1
6,61,300.01,9,0
6,61,5000,2,0
6,36,3000,10,0
11,61,3000,8,0
19,40,5000,3,1
12,75,0.01,8,0
6,49,2000,4,0
11,45,0.01,4,0
5,59,3000,8,0
11,36,0.01,5,0
3,55,3290.4,7,0
7,59,11000,5,0
27,33,0.01,4,1
5,55,0.01,5,0
6,72,6053.35,5,0
4,72,300,9,0
9,62,3300,9,1
8,71,20000,8,0
5,53,0.01,4,0
8,59,20290.99,3,0
5,76,3000,5,1
7,59,6000,4,0
11,51,0.01,5,1
15,42,420,4,1
9,63,15075,9,0
13,61,9600,5,0
7,58,6000,4,0
9,68,3000.01,8,0
7,74,2500,30,0
9,48,12053.34,4,1
4,69,18140.78,9,0
7,47,0.01,10,0
7,48,3300,6,0
7,47,2000,8,0
13,38,300,11,1
15,43,0.01,8,1
9,52,6000,1,0
12,34,0.01,4,1
13,34,0.01,4,1
8,49,6000,6,1
8,62,3000,8,0
2,50,6000,1,0
6,44,0.01,4,0
6,42,500,9,0
10,42,600,4,0
6,36,650,7,0
8,41,0.01,5,1
6,61,5044.45,4,0
10,79,41000,12,0
6,40,3000,1,1
10,55,100,1,0
10,65,6000,2,0
2,53,0.01,4,0
3,61,0.01,8,0
9,56,12000,4,0
9,73,20540.08,3,0
9,37,0.01,8,1
3,74,4391.5,17,0
5,68,28143.63,4,0
15,44,0.01,5,1
13,57,3000,13,0
7,52,50,11,0
11,37,0.01,4,1
10,63,38000,11,0
9,55,0.01,8,1
15,36,0.01,5,1
5,78,5000,5,1
7,50,3000,11,0
9,66,0.01,5,0
7,56,1000,10,0
9,63,5000,2,0
5,67,950,10,0
8,41,0.01,5,1
6,60,50,9,0
7,53,1900,5,1
9,70,6000,2,0
9,72,9000,6,0
7,56,130,32,0
7,37,0.01,4,0
10,50,9053.34,4,1
11,27,2420,4,1
11,46,0.01,9,0
9,48,15000,4,0
6,59,300.01,10,0
5,66,6000,2,0
9,77,1500,3,0
6,76,10600,8,0
6,52,1000,1,0
8,56,0.01,7,0
8,51,10000,3,0
12,71,12000,19,0
11,34,0.01,5,0
8,37,480.01,5,0
13,59,0.01,8,0
19,29,0.01,4,1
15,47,0.01,5,0
9,49,0.01,11,0
10,46,0.01,5,0
5,52,12013.19,6,0
14,35,0.01,5,1
13,53,420,9,0
6,44,50,9,0
9,57,6000,3,0
7,60,6000,4,0
13,65,0.01,8,1
5,58,4000,5,0
8,55,0.02,8,0
9,40,0.01,5,1
12,45,6000,1,1
6,43,4500,2,0
11,37,10000,5,1
5,48,100,1,0
10,24,6000,2,1
8,66,0.01,26,0
11,36,1420,5,0
14,47,5000,1,1
6,71,8000,2,0
6,69,500,8,0
11,52,0.01,5,1
13,68,3000,5,0
7,72,1000,4,0
8,61,8107.64,5,0
2,67,1500,11,0
6,47,6000,2,0
7,75,3000,16,0
6,48,1050,7,0
12,59,800,16,0
6,46,0.01,8,0
6,59,18000,6,0
11,67,5503.83,7,0
11,30,0.01,5,1
7,49,0.01,5,0
13,32,0.01,5,0
9,33,0.01,4,1
7,66,1000,9,1
9,37,4000,2,0
9,29,0.01,5,1
12,47,6053.35,6,1
5,47,1711.02,3,0
11,51,600,9,0
15,61,4800,15,1
6,55,6000,2,0
9,71,6000,1,0
5,69,15053.35,5,0
10,56,0.01,8,0
2,37,0.01,1,0
6,34,1440,1,1
10,44,50.02,11,1
12,43,0.01,5,0
22,39,0.01,5,1
5,24,5000,2,1
10,62,12000,8,0
8,54,4400,11,0
9,40,0.01,4,0
20,45,0.01,5,1
8,62,0.01,8,0
8,43,25625,8,0
9,58,9000,6,1
8,38,1000,6,0
5,58,8000,4,0
7,39,0.01,5,0
7,76,100.01,8,0
21,40,0.01,8,1
9,67,4800,2,0
7,58,0.01,5,0
7,53,30000,4,0
5,54,0.01,5,0
8,52,1500,4,0
6,70,4000,13,1
6,53,15000,5,0
8,63,0.01,8,0
5,62,6000,2,0
7,55,0.01,8,0
13,48,0.01,4,0
11,44,0.01,8,1
10,48,0.01,8,1
15,42,2500,1,0
12,50,0.01,8,1
9,74,6053.35,5,0
14,51,0.01,5,1
9,38,0.01,6,0
8,47,1000,5,0
10,49,3486.7,15,0
15,53,8000,4,1
7,78,10000,4,0
8,44,0.01,8,0
13,63,9000,8,0
6,63,3000,7,0
11,64,6053.34,4,1
9,73,10000,1,0
9,73,1000,6,0
7,54,0.01,8,0
14,70,3000,12,1
10,50,5000,4,0
15,33,2500,5,1
11,51,0.01,9,0
5,63,6000,4,0
6,73,1200,1,0
10,35,0.01,8,0
10,73,14000,12,0
10,46,0.01,5,0
13,54,50.01,8,1
18,57,5000,9,1
6,50,5000,4,0
7,79,16105.32,8,0
5,69,5050,8,0
9,56,0.01,8,0
7,47,6000,1,0
5,63,6053.35,5,0
9,29,0.01,4,1
11,51,10000,3,0
5,61,26000,1,0
6,52,0.01,9,0
6,55,2000,1,0
10,69,6105.32,8,0
4,47,0.01,8,0
10,32,0.01,6,1
15,32,0.01,5,1
14,32,0.01,4,1
14,70,6000,5,1
9,63,12000,8,0
5,71,6000,4,0
7,53,6000,2,1
6,56,2200,2,0
10,35,0.01,5,0
9,29,840,8,1
4,40,0.01,8,1
9,59,1260,7,0
3,51,0.01,5,0
11,63,0.01,4,0
4,67,4000,3,0
6,57,3000,13,0
7,48,600,9,0
5,44,50.01,9,0
10,32,0.01,7,0
12,64,0.01,8,0
6,65,4000,6,0
12,43,5000.01,8,1
8,68,36075,4,0
12,70,9500,0,0
8,42,5872.76,12,0
12,33,1500,5,1
8,66,0.01,11,1
9,47,7522.49,1,0
18,52,0.01,7,1
4,73,1000,4,0
5,50,50.01,8,0
7,67,3000,5,0
7,26,6000,2,0
13,60,10000,3,0
13,71,5000,2,0
11,53,0.01,8,0
5,32,0.01,8,0
11,45,0.01,9,0
12,34,10552.66,7,1
11,70,9000,23,0
11,61,3000,5,0
9,55,10000,4,0
4,51,0.01,5,0
6,43,1910.01,8,0
13,44,1302.5,9,0
11,77,6000,23,0
6,52,16625,8,0
12,78,4500,5,1
18,37,0.01,8,1
9,72,10000,14,0
7,53,3000,3,0
11,62,6000,2,1
10,62,20700,17,0
6,56,3000,8,0
5,49,500,16,0
5,74,3000,16,0
9,50,3000,3,0
9,47,0.01,8,0
4,37,0.01,10,0
5,50,4026.67,7,0
13,72,8700,8,0
5,59,19553.35,11,0
10,78,3000,27,0
6,76,6000,2,0
4,66,0.01,12,0
7,70,420,32,0
10,41,6000,1,1
5,59,5000,4,0
6,42,34052.66,9,0
10,69,7500,3,1
4,59,0.01,11,0
11,46,600,5,1
8,45,100,1,0
3,78,4000,2,0
8,77,6000,27,0
7,65,6000,11,0
15,59,30554.14,3,0
4,41,6000.01,8,0
12,46,35,3,0
11,47,0.01,9,1
6,39,6000,3,1
11,30,0.01,4,1
6,45,0.01,5,0
8,54,3000.01,9,0
13,44,0.01,5,1
13,59,6107.64,4,0
8,53,500,1,0
12,44,0.01,8,1
12,77,12000.01,8,0
12,35,0.01,4,1
10,61,4000,20,1
7,45,0.01,7,0
6,56,6000,5,1
11,43,1100.01,10,1
10,71,5000,11,0
10,50,1000,6,0
8,32,0.01,8,0
3,59,20774.67,3,0
20,69,7899.74,4,1
6,45,0.01,6,0
14,47,5000,6,0
11,47,4295.95,5,0
7,54,0.01,7,0
10,56,15000,4,0
7,46,0.01,5,0
11,61,18000,11,0
6,36,6000,1,0
6,40,0.01,4,0
7,54,0.01,5,0
17,46,1000,8,1
5,70,3000,6,0
8,71,2150,9,0
9,63,3000,1,0
6,52,0.01,4,0
8,59,0.01,5,0
12,34,0.01,5,1
10,28,8796.78,10,1
10,55,2000,5,0
7,40,1320,9,0
8,68,3647.2,7,0
3,33,420,4,1
14,59,10000,6,1
11,63,7500,9,0
5,67,8000,0,0
13,30,0.01,10,1
10,42,0.01,7,1
11,58,1000,6,0
7,55,1000,4,0
11,74,150,2,0
9,67,55967.02,12,0
8,50,3150,2,0
7,69,2000,3,0
